MOLECULE_DESC,MAT FEB'24,MAT FEB'26,QTY MAT FEB'26,CAGR,Market Share
AMLODIPINE + METOPROLOL SUCCINATE,9.1,8.700000000000001,8195,-0.022224997228935006,0.0003745382847007569
AMLODIPINE + METOPROLOL TARTRATE,11.1,11.6,22167,0.02227444702733572,0.0004993843796010091
AMLODIPINE + OLMESARTAN MEDOXOMIL,38.0,38.4,31273,0.00524937990006924,0.0016531344979895475
AMLODIPINE + PERINDOPRIL ERBUMINE,0.1,0.0,30,-1.0,0.0
AMLODIPINE + TELMISARTAN,282.8,281.0,342048,-0.0031875413130644237,0.012097156092058928
AMLODIPINE BESILATE,443.6,462.0,2685752,0.020528691286287648,0.019889274428936742
AMLODIPINE BESILATE + ATENOLOL,688.6999999999999,758.4000000000001,1992720,0.049383232741635696,0.03264940633529357
AMLODIPINE BESILATE + ATORVASTATIN CALCIUM SALT,0.0,0.0,0,0.0,0.0
AMLODIPINE BESILATE + BENAZEPRIL HYDROCHLORIDE,0.0,0.0,0,0.0,0.0
AMLODIPINE BESILATE + BISOPROLOL FUMARATE,83.6,119.7,140562,0.19658605282619845,0.005153130192951792
AMLODIPINE BESILATE + CHLORTALIDONE,0.0,0.0,0,0.0,0.0
AMLODIPINE BESILATE + CHLORTALIDONE + OLMESARTAN MEDOXOMIL,5.4,6.5,4188,0.0971343143406389,0.0002798274540867724
AMLODIPINE BESILATE + CHLORTALIDONE + TELMISARTAN,48.4,73.9,59771,0.2356615653698353,0.0031814229010788428
AMLODIPINE BESILATE + ENALAPRIL MALEATE,4.8,4.1,5197,-0.07578862446588197,0.00017650654796242562
AMLODIPINE BESILATE + HYDROCHLOROTHIAZIDE,39.5,39.9,70794,0.005050537176355618,0.001717710064317264
AMLODIPINE BESILATE + HYDROCHLOROTHIAZIDE + LOSARTAN POTASSIUM SALT,5.6,7.3,6047,0.14174052593898434,0.00031426775612822125
AMLODIPINE BESILATE + HYDROCHLOROTHIAZIDE + OLMESARTAN MEDOXOMIL,99.7,114.39999999999999,62153,0.07118734448318742,0.004924963191927193
AMLODIPINE BESILATE + HYDROCHLOROTHIAZIDE + TELMISARTAN,187.9,256.2,302816,0.16768626725390967,0.011029506728774011
AMLODIPINE BESILATE + INDAPAMIDE,11.7,12.8,10036,0.045952720736981645,0.0005510448326631825
AMLODIPINE BESILATE + INDAPAMIDE + PERINDOPRIL ERBUMINE,5.9,7.3,4135,0.11233454301896972,0.00031426775612822125
AMLODIPINE BESILATE + LISINOPRIL,15.7,11.4,12113,-0.1478763882619325,0.0004907743040906469
AMLODIPINE BESILATE + LOSARTAN,2.6,2.4,1738,-0.03923107716947727,0.00010332090612434672
AMLODIPINE BESILATE + LOSARTAN POTASSIUM SALT,62.49999999999999,59.300000000000004,62675,-0.025936347049126285,0.0025528873888224003
AMLODIPINE BESILATE + METOPROLOL SUCCINATE,213.9,228.20000000000002,217632,0.03288608759108769,0.009824096157323301
AMLODIPINE BESILATE + METOPROLOL SUCCINATE + TELMISARTAN,0.0,6.3999999999999995,5362,0.0,0.0002755224163315912
AMLODIPINE BESILATE + METOPROLOL TARTRATE,63.9,68.4,77237,0.03461226322292732,0.0029446458245438816
AMLODIPINE BESILATE + METOPROLOL TARTRATE + TELMISARTAN,1.9000000000000001,12.3,10653,1.5443435716361726,0.0005295196438872769
AMLODIPINE BESILATE + NEBIVOLOL HYDROCHLORIDE,11.5,12.5,10657,0.0425720702853738,0.0005381297193976392
AMLODIPINE BESILATE + OLMESARTAN MEDOXOMIL,91.1,95.8,64938,0.025471431839624525,0.0041242261694635065
AMLODIPINE BESILATE + PERINDOPRIL ERBUMINE,18.3,18.5,9663,0.005449631631855523,0.0007964319847085059
AMLODIPINE BESILATE + RAMIPRIL,13.9,12.8,7935,-0.04038376975349256,0.0005510448326631825
AMLODIPINE BESILATE + TELMISARTAN,795.0,1093.1,1095135,0.17259053102910538,0.04705836770188474
AMLODIPINE BESILATE + VALSARTAN,0.5,0.3,492,-0.2254033307585166,1.291511326554334e-05
AMLODIPINE MALEATE + CHLORTALIDONE + OLMESARTAN MEDOXOMIL,0.8,0.8,579,0.0,3.444030204144891e-05
AMLODIPINE MALEATE + HYDROCHLOROTHIAZIDE + OLMESARTAN MEDOXOMIL,0.0,0.1,71,0.0,4.3050377551811136e-06
AMLODIPINE MALEATE + NEBIVOLOL HYDROCHLORIDE,7.5,8.2,7957,0.04562580942387484,0.00035301309592485124
ASCORBIC ACID + BETA VULGARIS + CITRULLINE + CRATAEGUS LAEVIGATA + FOLIC ACID + MECOBALAMIN + SODIUM NITRITE + UBIQUINOL,0.0,0.0,0,0.0,0.0
ATENOLOL + ATORVASTATIN CALCIUM SALT + LOSARTAN POTASSIUM SALT + SALICYLIC ACID,0.0,0.0,0,0.0,0.0
ATENOLOL + BENIDIPINE HYDROCHLORIDE,0.0,0.0,0,0.0,0.0
